journal,aliases,impact_factor,jif_data_year,jcr_release_year,jcr_quartile,jcr_category,source_url,source_type,verification_status,accessed_at,notes
Antibiotics,"Antibiotics (Basel, Switzerland)",5.5,2025,2026,,,https://www.mdpi.com/journal/antibiotics/imprint,publisher_official,verified_official_explicit_year,2026-07-15,Official MDPI imprint reports 2025 Journal Impact Factor 5.5
Bioinformatics,"Bioinformatics (Oxford, England)",5.5,2025,2026,,,https://academic.oup.com/bioinformatics/pages/About,publisher_official,verified_official_explicit_year,2026-07-15,Official Oxford Academic page reports 2025 Impact Factor 5.5
Bioinformatics Advances,,2.6,2025,2026,,,https://academic.oup.com/bioinformaticsadvances/pages/About,publisher_official,verified_official_explicit_year,2026-07-15,Official Oxford Academic page reports 2025 Impact Factor 2.6
BMC Bioinformatics,,4.4,2025,2026,,,https://link.springer.com/journal/12859,publisher_official,verified_official_explicit_year,2026-07-15,Official Springer Nature journal page reports 2025 Journal Impact Factor 4.4
BMC Genomics,,3.9,2025,2026,,,https://link.springer.com/journal/12864,publisher_official,verified_official_explicit_year,2026-07-15,Official Springer Nature journal page reports 2025 Journal Impact Factor 3.9
Briefings in Bioinformatics,,7.3,2025,2026,,,https://academic.oup.com/bib,publisher_official,verified_official_explicit_year,2026-07-15,Official Oxford Academic page reports 2025 Impact Factor 7.3
HLA,,4.9,2025,2026,,,https://onlinelibrary.wiley.com/journal/20592310,publisher_official,verified_official_current_year_inferred,2026-07-15,Wiley currently reports Journal Impact Factor 4.9; metric year inferred as 2025 from the current 2026 JCR release cycle because the page does not print the year beside the value
Interdisciplinary Sciences: Computational Life Sciences,"Interdisciplinary sciences, computational life sciences",5.2,2025,2026,,,https://link.springer.com/journal/12539,publisher_official,verified_official_explicit_year,2026-07-15,Official Springer Nature journal page reports 2025 Journal Impact Factor 5.2
International Journal of Molecular Sciences,,5.6,2025,2026,,,https://www.mdpi.com/journal/ijms/imprint,publisher_official,verified_official_explicit_year,2026-07-15,Official MDPI imprint reports 2025 Journal Impact Factor 5.6
Journal of Chemical Information and Modeling,,5.3,2025,2026,,,https://pubs.acs.org/journal/jcisd8,publisher_official,verified_official_explicit_year,2026-07-15,Official ACS journal page reports 2025 two-year Impact Factor 5.3
Probiotics and Antimicrobial Proteins,,5.3,2025,2026,,,https://link.springer.com/journal/12602,publisher_official,verified_official_explicit_year,2026-07-15,Official Springer Nature journal page reports 2025 Journal Impact Factor 5.3
Protein Science,"Protein science : a publication of the Protein Society",5.6,2025,2026,,,https://onlinelibrary.wiley.com/journal/1469896X,publisher_official,verified_official_current_year_inferred,2026-07-15,Wiley currently reports Journal Impact Factor 5.6; metric year inferred as 2025 from the current 2026 JCR release cycle because the page does not print the year beside the value
Scientific Reports,,4.9,2025,2026,,,https://www.nature.com/srep/about,publisher_official,verified_official_explicit_year,2026-07-15,Official Nature Portfolio page reports 2025 Journal Impact Factor 4.9
PLOS ONE,,,,,,,https://journals.plos.org/plosone/s/journal-information,publisher_official,needs_jcr_verification,2026-07-15,PLOS states that it does not publicly display Impact Factor and provides it only upon request
mSystems,,,,,,,https://journals.asm.org/doi/10.1128/msystems.00088-16,publisher_official,needs_jcr_verification,2026-07-15,ASM journal sites intentionally do not advertise Impact Factors; obtain the value from licensed JCR
bioRxiv : the preprint server for biology,,,,,,,https://www.biorxiv.org/,preprint_server,not_applicable_preprint,2026-07-15,bioRxiv is a preprint server rather than a JCR journal
