round,metric,weight
1,ACC,0.0184123801
1,AUPRC,0.2223939768
1,AUROC,0.0645168186
1,BalancedAccuracy,0.0594625143
1,BrierScore,0.0486097437
1,ECE,0.0403085252
1,F1-Score,0.0554580894
1,MCC,0.1814180095
1,NPV,0.0324439014
1,Precision,0.1031246128
1,Recall,0.1330193884
1,Specificity,0.0408320398
2,ACC,0.0192383234
2,AUPRC,0.2190081104
2,AUROC,0.0649559351
2,BalancedAccuracy,0.0596426587
2,BrierScore,0.0497031242
2,ECE,0.0415297301
2,F1-Score,0.0555758889
2,MCC,0.1777666826
2,NPV,0.0340389581
2,Precision,0.1028315719
2,Recall,0.1337029309
2,Specificity,0.0420060857
3,ACC,0.0200487909
3,AUPRC,0.2157522769
3,AUROC,0.0653439581
3,BalancedAccuracy,0.059807803
3,BrierScore,0.0508837114
3,ECE,0.0425456001
3,F1-Score,0.0555557347
3,MCC,0.1744977147
3,NPV,0.0354492144
3,Precision,0.1028353116
3,Recall,0.1340869231
3,Specificity,0.0431929611
4,ACC,0.0205978303
4,AUPRC,0.2135350077
4,AUROC,0.0659902832
4,BalancedAccuracy,0.0601759704
4,BrierScore,0.0516852559
4,ECE,0.0433740355
4,F1-Score,0.0556030976
4,MCC,0.1721832158
4,NPV,0.0361943951
4,Precision,0.1028020572
4,Recall,0.1337747509
4,Specificity,0.0440841004
5,ACC,0.0210987364
5,AUPRC,0.2115679344
5,AUROC,0.0661693301
5,BalancedAccuracy,0.0602808602
5,BrierScore,0.0523990726
5,ECE,0.0439341168
5,F1-Score,0.0556033706
5,MCC,0.1703478032
5,NPV,0.0370403317
5,Precision,0.1028186467
5,Recall,0.1339492576
5,Specificity,0.0447905397
6,ACC,0.021343467
6,AUPRC,0.2111138374
6,AUROC,0.0663279575
6,BalancedAccuracy,0.0607188999
6,BrierScore,0.0528620408
6,ECE,0.0441563786
6,F1-Score,0.0555519994
6,MCC,0.1692143635
6,NPV,0.0374740776
6,Precision,0.1026128833
6,Recall,0.1336518214
6,Specificity,0.0449722736
7,ACC,0.0216788541
7,AUPRC,0.2089507114
7,AUROC,0.066239162
7,BalancedAccuracy,0.0607500305
7,BrierScore,0.0532819839
7,ECE,0.0448638539
7,F1-Score,0.0557019223
7,MCC,0.1686467633
7,NPV,0.0377123804
7,Precision,0.1029797813
7,Recall,0.1335532143
7,Specificity,0.0456413426
8,ACC,0.0218263439
8,AUPRC,0.20856766
8,AUROC,0.0663016488
8,BalancedAccuracy,0.0607133727
8,BrierScore,0.0533207222
8,ECE,0.0450590498
8,F1-Score,0.0558997806
8,MCC,0.168134334
8,NPV,0.0380681706
8,Precision,0.1026171699
8,Recall,0.1337933961
8,Specificity,0.0456983514
9,ACC,0.021909474
9,AUPRC,0.2084319059
9,AUROC,0.0666708543
9,BalancedAccuracy,0.0608421567
9,BrierScore,0.053446673
9,ECE,0.0451754356
9,F1-Score,0.055919499
9,MCC,0.167775359
9,NPV,0.0380368578
9,Precision,0.1025580623
9,Recall,0.1334146273
9,Specificity,0.0458190951
10,ACC,0.0219583893
10,AUPRC,0.2083769701
10,AUROC,0.0669837637
10,BalancedAccuracy,0.0609673319
10,BrierScore,0.0535511504
10,ECE,0.0452347506
10,F1-Score,0.0559118607
10,MCC,0.1675379759
10,NPV,0.0379700683
10,Precision,0.1025404995
10,Recall,0.1330597413
10,Specificity,0.0459074983
11,ACC,0.0219612465
11,AUPRC,0.2089800839
11,AUROC,0.0669486194
11,BalancedAccuracy,0.0612377572
11,BrierScore,0.0537137158
11,ECE,0.0450462807
11,F1-Score,0.0557902282
11,MCC,0.1673579639
11,NPV,0.0380548718
11,Precision,0.1023645922
11,Recall,0.1328513619
11,Specificity,0.0456932785
12,ACC,0.0220482408
12,AUPRC,0.2086134064
12,AUROC,0.066881567
12,BalancedAccuracy,0.0610154331
12,BrierScore,0.0537863112
12,ECE,0.04506326
12,F1-Score,0.0557638746
12,MCC,0.1669887188
12,NPV,0.0383026069
12,Precision,0.1024654292
12,Recall,0.1332189687
12,Specificity,0.0458521833
13,ACC,0.0220995566
13,AUPRC,0.2082071387
13,AUROC,0.0667530818
13,BalancedAccuracy,0.0608365895
13,BrierScore,0.053788708
13,ECE,0.0450827136
13,F1-Score,0.0557367743
13,MCC,0.1667821393
13,NPV,0.0385120501
13,Precision,0.1025910896
13,Recall,0.133596626
13,Specificity,0.0460135325
14,ACC,0.0219831025
14,AUPRC,0.2087341944
14,AUROC,0.0663207075
14,BalancedAccuracy,0.0609267965
14,BrierScore,0.0535420788
14,ECE,0.044878498
14,F1-Score,0.0560653899
14,MCC,0.1674538991
14,NPV,0.0384482787
14,Precision,0.102232414
14,Recall,0.1337160149
14,Specificity,0.0456986257
15,ACC,0.0221120604
15,AUPRC,0.2077136942
15,AUROC,0.0663842344
15,BalancedAccuracy,0.0611006983
15,BrierScore,0.0537487072
15,ECE,0.0453260361
15,F1-Score,0.0562560484
15,MCC,0.1676803424
15,NPV,0.0384370567
15,Precision,0.1021271445
15,Recall,0.1334071863
15,Specificity,0.0457067911
16,ACC,0.0221931289
16,AUPRC,0.2075571395
16,AUROC,0.0664663264
16,BalancedAccuracy,0.0609435763
16,BrierScore,0.0538431354
16,ECE,0.0453440575
16,F1-Score,0.0561286979
16,MCC,0.1673459094
16,NPV,0.0385520771
16,Precision,0.1022305232
16,Recall,0.1335418025
16,Specificity,0.0458536259
17,ACC,0.0222180489
17,AUPRC,0.2074231283
17,AUROC,0.066462872
17,BalancedAccuracy,0.0607967217
17,BrierScore,0.0538410375
17,ECE,0.0453114006
17,F1-Score,0.0560011612
17,MCC,0.1670745653
17,NPV,0.0386730773
17,Precision,0.1024021114
17,Recall,0.1337859413
17,Specificity,0.0460099345
18,ACC,0.0221455931
18,AUPRC,0.2076002152
18,AUROC,0.0663862847
18,BalancedAccuracy,0.060739122
18,BrierScore,0.0535935342
18,ECE,0.0452893857
18,F1-Score,0.0561043617
18,MCC,0.1670725311
18,NPV,0.0387464385
18,Precision,0.1022461183
18,Recall,0.1341364531
18,Specificity,0.0459399624
19,ACC,0.0220329598
19,AUPRC,0.2083330425
19,AUROC,0.066040097
19,BalancedAccuracy,0.0608667074
19,BrierScore,0.0534308421
19,ECE,0.0450269052
19,F1-Score,0.0563582371
19,MCC,0.1676822063
19,NPV,0.0386204177
19,Precision,0.1019203305
19,Recall,0.1340916411
19,Specificity,0.0455966133
20,ACC,0.0220852696
20,AUPRC,0.2082049362
20,AUROC,0.0661409407
20,BalancedAccuracy,0.0607236988
20,BrierScore,0.0535152625
20,ECE,0.0450518205
20,F1-Score,0.0561884764
20,MCC,0.1671509072
20,NPV,0.0387533837
20,Precision,0.1021463462
20,Recall,0.1342672218
20,Specificity,0.0457717364
21,ACC,0.0221570117
21,AUPRC,0.207490572
21,AUROC,0.066202501
21,BalancedAccuracy,0.0606304974
21,BrierScore,0.0538409217
21,ECE,0.0454485155
21,F1-Score,0.0560983238
21,MCC,0.1669862384
21,NPV,0.038477682
21,Precision,0.102987856
21,Recall,0.1334666125
21,Specificity,0.046213268
22,ACC,0.0221220011
22,AUPRC,0.2081751266
22,AUROC,0.0663321628
22,BalancedAccuracy,0.0609598938
22,BrierScore,0.0538743873
22,ECE,0.045273649
22,F1-Score,0.0559284951
22,MCC,0.1670330046
22,NPV,0.0384236299
22,Precision,0.1027171866
22,Recall,0.1331831453
22,Specificity,0.0459773179
23,ACC,0.0222332406
23,AUPRC,0.2069069312
23,AUROC,0.0662331576
23,BalancedAccuracy,0.0609125787
23,BrierScore,0.0539723127
23,ECE,0.0456550047
23,F1-Score,0.0559742439
23,MCC,0.1672312521
23,NPV,0.0383368962
23,Precision,0.1030403172
23,Recall,0.1331699771
23,Specificity,0.046334088
24,ACC,0.0223560392
24,AUPRC,0.2061505055
24,AUROC,0.0663818813
24,BalancedAccuracy,0.0611032312
24,BrierScore,0.0541667674
24,ECE,0.0459597737
24,F1-Score,0.0561652869
24,MCC,0.1677129302
24,NPV,0.0383099357
24,Precision,0.1027056018
24,Recall,0.1327797005
24,Specificity,0.0462083466
25,ACC,0.0223139637
25,AUPRC,0.2067263113
25,AUROC,0.0668399837
25,BalancedAccuracy,0.0611619927
25,BrierScore,0.0540996552
25,ECE,0.0458607922
25,F1-Score,0.056105318
25,MCC,0.1676230556
25,NPV,0.0381030013
25,Precision,0.1025597099
25,Recall,0.132453862
25,Specificity,0.0461523544
26,ACC,0.0223694104
26,AUPRC,0.2064103733
26,AUROC,0.0667991339
26,BalancedAccuracy,0.0609936148
26,BrierScore,0.0543695246
26,ECE,0.0460488847
26,F1-Score,0.0560476344
26,MCC,0.1674320339
26,NPV,0.0379455753
26,Precision,0.1031943795
26,Recall,0.131943608
26,Specificity,0.0464458272
27,ACC,0.0223245395
27,AUPRC,0.206738883
27,AUROC,0.0666610407
27,BalancedAccuracy,0.0609037833
27,BrierScore,0.0540640406
27,ECE,0.0458864701
27,F1-Score,0.0561597042
27,MCC,0.1674203509
27,NPV,0.038190376
27,Precision,0.1027437263
27,Recall,0.1326489592
27,Specificity,0.0462581262
28,ACC,0.0222324897
28,AUPRC,0.207793338
28,AUROC,0.0666285234
28,BalancedAccuracy,0.0611484949
28,BrierScore,0.0540268043
28,ECE,0.0455168981
28,F1-Score,0.0559974197
28,MCC,0.1673176036
28,NPV,0.0382543382
28,Precision,0.1024569748
28,Recall,0.1327059702
28,Specificity,0.0459211451
29,ACC,0.022279695
29,AUPRC,0.2073345921
29,AUROC,0.0666195934
29,BalancedAccuracy,0.0609388296
29,BrierScore,0.054246351
29,ECE,0.0457612566
29,F1-Score,0.0559808009
29,MCC,0.1670983901
29,NPV,0.0380947015
29,Precision,0.1031191069
29,Recall,0.13226976
29,Specificity,0.0462569229
30,ACC,0.022385432
30,AUPRC,0.206077157
30,AUROC,0.0663726129
30,BalancedAccuracy,0.0608946171
30,BrierScore,0.0542615298
30,ECE,0.0460528203
30,F1-Score,0.0560247613
30,MCC,0.167389161
30,NPV,0.0381156826
30,Precision,0.1033270632
30,Recall,0.1325210875
30,Specificity,0.0465780753
