rank,model,median_score,mean_score,score_iqr,median_rank,mean_rank,top3_frequency,rounds
1,pepnet_standard,0.73886349,0.74064428,0.05422723,2.0,2.68,0.7,50
2,amplify_imb,0.70614553,0.70443028,0.17908211,2.0,3.58,0.66,50
3,C_AMPs-predict,0.69737369,0.69314995,0.08699574,3.5,3.86,0.5,50
4,HMD-AMP,0.67581546,0.68352583,0.1267561,4.0,4.54,0.3,50
5,amplify_bal,0.64855985,0.64369769,0.04564738,5.0,5.74,0.16,50
6,AMPsorter,0.62512333,0.6262977,0.22123922,6.0,6.04,0.3,50
7,pepnet_fast,0.59635285,0.59151052,0.10487684,7.0,7.42,0.0,50
8,macrel,0.59231748,0.59472959,0.14743863,8.0,7.1,0.0,50
9,esm-AxP-GDL,0.54210402,0.5388705,0.30056997,9.0,8.82,0.12,50
10,ascan2,0.49179328,0.49593762,0.38276362,10.0,9.66,0.26,50
11,lstm,0.43948657,0.44074342,0.03039744,12.0,11.74,0.0,50
12,ai4amp,0.43093671,0.43206558,0.09274851,12.0,12.0,0.0,50
13,iampcn,0.42979775,0.43208985,0.08591859,13.0,12.2,0.0,50
14,apin,0.42631843,0.42964189,0.17752844,14.0,12.28,0.0,50
15,amPEPpy,0.38870452,0.38361658,0.08232459,14.0,13.7,0.0,50
16,ampir,0.33272394,0.33334183,0.14438412,16.0,14.78,0.0,50
17,apex1.1,0.21160971,0.20932973,0.04279763,17.0,16.86,0.0,50
18,iamp-ca2l,0.02611958,0.02637716,0.02620823,18.0,18.0,0.0,50
