round,model,score,rank
1,HMD-AMP,0.8027015282,1
1,pepnet_standard,0.7871651899,2
1,ascan2,0.7113308872,3
1,macrel,0.6856702468,4
1,amplify_bal,0.6277274778,5
1,C_AMPs-predict,0.6155520852,6
1,amplify_imb,0.6064579834,7
1,apin,0.5472972793,8
1,AMPsorter,0.5104772331,9
1,pepnet_fast,0.4903299141,10
1,ai4amp,0.4817330012,11
1,lstm,0.4545987142,12
1,ampir,0.412478711,13
1,iampcn,0.3870990804,14
1,esm-AxP-GDL,0.3708132879,15
1,amPEPpy,0.3038061084,16
1,apex1.1,0.1641606112,17
1,iamp-ca2l,0.0406006607,18
2,pepnet_standard,0.7687517056,1
2,amplify_bal,0.7391256757,2
2,ascan2,0.7147542273,3
2,C_AMPs-predict,0.6885912414,4
2,macrel,0.6784897587,5
2,HMD-AMP,0.6741213977,6
2,amplify_imb,0.5953695638,7
2,pepnet_fast,0.5599663777,8
2,apin,0.5249795987,9
2,ai4amp,0.485966826,10
2,ampir,0.436601111,11
2,AMPsorter,0.4257868545,12
2,lstm,0.4233377322,13
2,amPEPpy,0.3913716899,14
2,esm-AxP-GDL,0.3650402876,15
2,iampcn,0.2915076094,16
2,apex1.1,0.19576295,17
2,iamp-ca2l,0.0404753929,18
3,pepnet_standard,0.7391775993,1
3,amplify_imb,0.7074829263,2
3,C_AMPs-predict,0.6995041602,3
3,HMD-AMP,0.6757820497,4
3,amplify_bal,0.6490577476,5
3,AMPsorter,0.6252581105,6
3,pepnet_fast,0.5961182481,7
3,macrel,0.5936193166,8
3,esm-AxP-GDL,0.5428124487,9
3,ascan2,0.4918642388,10
3,lstm,0.438746077,11
3,iampcn,0.4307881174,12
3,ai4amp,0.4291879701,13 
3,apin,0.4261808654,14
3,amPEPpy,0.3877891885,15
3,ampir,0.3336054364,16
3,apex1.1,0.2072556962,17
3,iamp-ca2l,0.0257698032,18
4,AMPsorter,0.8243713933,1
4,amplify_imb,0.8198736211,2
4,esm-AxP-GDL,0.7205631365,3
4,C_AMPs-predict,0.7103152362,4
4,pepnet_standard,0.7101803442,5
4,HMD-AMP,0.6776339113,6
4,pepnet_fast,0.6321032098,7
4,iampcn,0.5679462023,8
4,amplify_bal,0.5598220651,9
4,macrel,0.5095081933,10
4,lstm,0.4536531453,11
4,amPEPpy,0.3848481714,12
4,ai4amp,0.3726983198,13
4,apin,0.3276961151,14
4,ascan2,0.2692685037,15
4,ampir,0.230448033,16
4,apex1.1,0.218311088,17
4,iamp-ca2l,0.0107593106,18
5,pepnet_standard,0.738957926,1
5,amplify_imb,0.7067329816,2
5,C_AMPs-predict,0.6983143979,3
5,HMD-AMP,0.675708468,4
5,amplify_bal,0.6487646901,5
5,AMPsorter,0.6250229861,6
5,pepnet_fast,0.5961951766,7
5,macrel,0.5928448531,8
5,esm-AxP-GDL,0.5424173846,9
5,ascan2,0.4918464856,10
5,lstm,0.4391563716,11
5,iampcn,0.4303278405,12
5,ai4amp,0.4301128409,13
5,apin,0.426230918,14
5,amPEPpy,0.3883419682,15
5,ampir,0.3332231033,16
5,apex1.1,0.2098297247,17
5,iamp-ca2l,0.025971883,18
6,amplify_imb,0.8079877352,1
6,C_AMPs-predict,0.783797365,2
6,AMPsorter,0.7396191146,3
6,esm-AxP-GDL,0.7135930451,4
6,pepnet_fast,0.7009985053,5
6,pepnet_standard,0.6923656183,6
6,amplify_bal,0.6710195289,7
6,HMD-AMP,0.5494891416,8
6,macrel,0.5026356875,9
6,iampcn,0.472492997,10
6,amPEPpy,0.4702817769,11
6,lstm,0.4229292266,12
6,ai4amp,0.3762626247,13
6,apin,0.3057591825,14
6,ascan2,0.2732740801,15
6,ampir,0.2541665599,16
6,apex1.1,0.2529071125,17
6,iamp-ca2l,0.0104206984,18
7,HMD-AMP,0.8020928126,1
7,pepnet_standard,0.785336345,2
7,ascan2,0.7100692403,3
7,macrel,0.6826469401,4
7,amplify_bal,0.6261436972,5
7,C_AMPs-predict,0.6123785976,6
7,amplify_imb,0.6046801188,7
7,apin,0.5468669167,8
7,AMPsorter,0.5104598266,9
7,pepnet_fast,0.4915112646,10
7,ai4amp,0.4850436573,11
7,lstm,0.4554597439,12
7,ampir,0.4119581631,13
7,iampcn,0.3874994658,14
7,esm-AxP-GDL,0.3711923378,15
7,amPEPpy,0.3067607893,16
7,apex1.1,0.1682175409,17
7,iamp-ca2l,0.0416825425,18
8,pepnet_standard,0.7675308451,1
8,amplify_bal,0.7369613673,2
8,ascan2,0.7140014959,3
8,C_AMPs-predict,0.687094513,4
8,macrel,0.6760542204,5
8,HMD-AMP,0.6737803662,6
8,amplify_imb,0.5929666684,7
8,pepnet_fast,0.5604767477,8
8,apin,0.5245534194,9
8,ai4amp,0.4877297552,10
8,ampir,0.4358369681,11
8,AMPsorter,0.4264900047,12
8,lstm,0.4247231372,13
8,amPEPpy,0.391145024,14
8,esm-AxP-GDL,0.3639855334,15
8,iampcn,0.2937201156,16
8,apex1.1,0.2015815242,17
8,iamp-ca2l,0.0413682943,18
9,AMPsorter,0.8236866822,1
9,amplify_imb,0.8193975143,2
9,esm-AxP-GDL,0.720181287,3
9,pepnet_standard,0.710282484,4
9,C_AMPs-predict,0.7080253891,5
9,HMD-AMP,0.6777469006,6
9,pepnet_fast,0.6322211168,7
9,iampcn,0.5657077588,8
9,amplify_bal,0.5602159141,9
9,macrel,0.5087074893,10
9,lstm,0.4540601404,11
9,amPEPpy,0.3863239171,12
9,ai4amp,0.3740065842,13
9,apin,0.3280179782,14
9,ascan2,0.2696687236,15
9,ampir,0.2298379785,16
9,apex1.1,0.2211254803,17
9,iamp-ca2l,0.0107866615,18
10,AMPsorter,0.8237980759,1
10,amplify_imb,0.8193452935,2
10,esm-AxP-GDL,0.7200781986,3
10,pepnet_standard,0.7104133196,4
10,C_AMPs-predict,0.708245025,5
10,HMD-AMP,0.6777048113,6
10,pepnet_fast,0.6322880958,7
10,iampcn,0.5655425074,8
10,amplify_bal,0.5602860361,9
10,macrel,0.508877359,10
10,lstm,0.4538837067,11
10,amPEPpy,0.3863039441,12
10,ai4amp,0.3741073613,13
10,apin,0.327929479,14
10,ascan2,0.2695098015,15
10,ampir,0.2296452645,16
10,apex1.1,0.2212775438,17
10,iamp-ca2l,0.0107641767,18
11,amplify_imb,0.8076162384,1
11,C_AMPs-predict,0.7834818121,2
11,AMPsorter,0.739830026,3
11,esm-AxP-GDL,0.7129886149,4
11,pepnet_fast,0.7011410433,5
11,pepnet_standard,0.6926746779,6
11,amplify_bal,0.671072148,7
11,HMD-AMP,0.5495031421,8
11,macrel,0.5025253485,9
11,iampcn,0.471545501,10
11,amPEPpy,0.4705088105,11
11,lstm,0.422873657,12
11,ai4amp,0.3767916328,13
11,apin,0.3056181729,14
11,ascan2,0.2731829634,15
11,apex1.1,0.2547692518,16
11,ampir,0.2534758994,17
11,iamp-ca2l,0.01040106,18
12,pepnet_standard,0.7389945561,1
12,amplify_imb,0.7061937165,2
12,C_AMPs-predict,0.6975546544,3
12,HMD-AMP,0.6757816398,4
12,amplify_bal,0.6486454151,5
12,AMPsorter,0.6249945073,6
12,pepnet_fast,0.5963426809,7
12,macrel,0.5923687071,8
12,esm-AxP-GDL,0.5420838537,9
12,ascan2,0.4917425824,10
12,lstm,0.4392934145,11
12,ai4amp,0.4309266881,12
12,iampcn,0.429719284,13
12,apin,0.4262932174,14
12,amPEPpy,0.3887047386,15
12,ampir,0.332789338,16
12,apex1.1,0.2114715503,17
12,iamp-ca2l,0.0260994559,18
13,pepnet_standard,0.7388484511,1
13,amplify_imb,0.7061612003,2
13,C_AMPs-predict,0.6972836316,3
13,HMD-AMP,0.6757153021,4
13,amplify_bal,0.6485762193,5
13,AMPsorter,0.6248537719,6
13,pepnet_fast,0.5963162526,7
13,macrel,0.5921846517,8
13,esm-AxP-GDL,0.5421135394,9
13,ascan2,0.4918363991,10
13,lstm,0.4394851981,11
13,ai4amp,0.4308797507,12
13,iampcn,0.4299220748,13
13,apin,0.4262961261,14
13,amPEPpy,0.3887879071,15
13,ampir,0.3328642169,16
13,apex1.1,0.2117439241,17
13,iamp-ca2l,0.026131383,18
14,C_AMPs-predict,0.7723412968,1
14,amplify_bal,0.7593990014,2
14,pepnet_standard,0.7210997478,3
14,amplify_imb,0.6944302328,4
14,pepnet_fast,0.6651751404,5
14,macrel,0.5859039114,6
14,HMD-AMP,0.5475889431,7
14,AMPsorter,0.5408249278,8
14,esm-AxP-GDL,0.5350172077,9
14,ascan2,0.4958089137,10
14,amPEPpy,0.4728987342,11
14,ai4amp,0.4334789148,12
14,lstm,0.4086906991,13
14,apin,0.4041096045,14
14,ampir,0.3568290977,15
14,iampcn,0.3359455412,16
14,apex1.1,0.244693957,17
14,iamp-ca2l,0.0257641287,18
15,ascan2,0.9323823571,1
15,pepnet_standard,0.8140449752,2
15,HMD-AMP,0.80023486,3
15,macrel,0.7660429661,4
15,amplify_bal,0.7144058284,5
15,apin,0.6451560776,6
15,C_AMPs-predict,0.6015188998,7
15,ai4amp,0.5420479661,8
15,ampir,0.514917355,9
15,amplify_imb,0.491326728,10
15,pepnet_fast,0.4558865012,11
15,lstm,0.4409404811,12
15,AMPsorter,0.3119752068,13
15,amPEPpy,0.3093640329,14
15,iampcn,0.2518821043,15
15,esm-AxP-GDL,0.1931502909,16
15,apex1.1,0.1576974852,17
15,iamp-ca2l,0.0570258842,18
16,pepnet_standard,0.7388785329,1
16,amplify_imb,0.7061298692,2
16,C_AMPs-predict,0.6971049331,3
16,HMD-AMP,0.6758831857,4
16,amplify_bal,0.6485434809,5
16,AMPsorter,0.6250546985,6
16,pepnet_fast,0.5964184624,7
16,macrel,0.5920814262,8
16,esm-AxP-GDL,0.5420978589,9
16,ascan2,0.4919624873,10
16,lstm,0.4396003975,11
16,ai4amp,0.4309866078,12
16,iampcn,0.4297209287,13
16,apin,0.4263748513,14
16,amPEPpy,0.3888509526,15
16,ampir,0.3328180234,16
16,apex1.1,0.2113760616,17
16,iamp-ca2l,0.0261172421,18
17,pepnet_standard,0.738778996,1
17,amplify_imb,0.7061031329,2
17,C_AMPs-predict,0.6969838004,3
17,HMD-AMP,0.6758002711,4
17,amplify_bal,0.6485015505,5
17,AMPsorter,0.6249251106,6
17,pepnet_fast,0.5963766145,7
17,macrel,0.591996914,8
17,esm-AxP-GDL,0.5421101883,9
17,ascan2,0.4919863924,10
17,lstm,0.4396876063,11
17,ai4amp,0.4309467364,12
17,iampcn,0.429874568,13
17,apin,0.4263563803,14
17,amPEPpy,0.3888901504,15
17,ampir,0.3328703086,16
17,apex1.1,0.2116700762,17
17,iamp-ca2l,0.0261412031,18
18,pepnet_standard,0.7674200833,1
18,amplify_bal,0.7368852303,2
18,ascan2,0.7140893707,3
18,C_AMPs-predict,0.6865333275,4
18,macrel,0.6755810833,5
18,HMD-AMP,0.6736799912,6
18,amplify_imb,0.5930317135,7
18,pepnet_fast,0.5606374356,8
18,apin,0.5244146507,9
18,ai4amp,0.4875637907,10
18,ampir,0.4358278806,11
18,AMPsorter,0.4263242926,12
18,lstm,0.4250716,13
18,amPEPpy,0.3912528226,14
18,esm-AxP-GDL,0.3640617778,15
18,iampcn,0.2945244517,16
18,apex1.1,0.2016421134,17
18,iamp-ca2l,0.0414583844,18
19,C_AMPs-predict,0.7720132216,1
19,amplify_bal,0.7593852036,2
19,pepnet_standard,0.7210392507,3
19,amplify_imb,0.6944326607,4
19,pepnet_fast,0.6652057487,5
19,macrel,0.5857400631,6
19,HMD-AMP,0.547605181,7
19,AMPsorter,0.5407732004,8
19,esm-AxP-GDL,0.5350210217,9
19,ascan2,0.4960420523,10
19,amPEPpy,0.4728905195,11
19,ai4amp,0.4334019482,12
19,lstm,0.4089885262,13
19,apin,0.4041820124,14
19,ampir,0.3569325987,15
19,iampcn,0.3362291316,16
19,apex1.1,0.2443425272,17
19,iamp-ca2l,0.0257751324,18
20,pepnet_standard,0.7387024262,1
20,amplify_imb,0.7064294148,2
20,C_AMPs-predict,0.6966762764,3
20,HMD-AMP,0.6757652136,4
20,amplify_bal,0.6485999987,5
20,AMPsorter,0.6246701663,6
20,pepnet_fast,0.5963444705,7
20,macrel,0.591727529,8
20,esm-AxP-GDL,0.5423639585,9
20,ascan2,0.4921642313,10
20,lstm,0.4399082709,11
20,ai4amp,0.430555186,12
20,iampcn,0.4305504047,13
20,apin,0.426382472,14
