rank,combo,median_score,mean_score,score_iqr,median_rank,mean_rank,top3_frequency,mean_AUPRC,mean_MCC,mean_Precision,mean_Recall,worst_dataset_AUPRC,worst_dataset_MCC
1,C_AMPs-predict + esm-AxP-GDL + pepnet_standard,0.840206686558415,0.8351836234131536,0.04686060662122138,10.5,16.12,0.4,0.9808526905767977,0.862656622956921,0.9207953652557624,0.8864686197944001,0.9720955703264286,0.7773456399535232
2,esm-AxP-GDL + macrel + pepnet_standard,0.8359550985396241,0.8348997885634397,0.026058131958741737,7.0,14.04,0.26,0.9730461651577272,0.8405576278184338,0.8651497006808748,0.9037012139182806,0.9506052562849104,0.8000138551274077
3,C_AMPs-predict + esm-AxP-GDL + HMD-AMP,0.832319254810049,0.8383691872552287,0.04005132829248359,10.0,12.12,0.38,0.9716269758364356,0.8252201127499982,0.8402748120956957,0.8977972944828697,0.944714293637995,0.725554435442659
4,esm-AxP-GDL + HMD-AMP + pepnet_standard,0.8139958658588644,0.8245332244007352,0.06678562169066571,4.0,16.8,0.22,0.9653102547476982,0.7902528492738519,0.761392155958366,0.9301857188995707,0.9252198635752606,0.597777270447321
5,amplify_bal + esm-AxP-GDL + HMD-AMP,0.8052339512428512,0.8122670043256128,0.044390088688725515,15.0,19.44,0.0,0.9704899673398608,0.7917373810280454,0.7658036514362928,0.9348799604327551,0.9447731094938415,0.6459523304586293
6,amplify_bal + C_AMPs-predict + esm-AxP-GDL,0.7972464874040033,0.7902274872386438,0.07039570629799852,15.0,41.44,0.08,0.9770842611111727,0.8503053990464752,0.9100286977456898,0.8851883530848536,0.9655256332116446,0.7599518311594196
7,amplify_bal + esm-AxP-GDL + macrel,0.7972397015420751,0.7968002970051881,0.07275691379697713,20.0,33.6,0.0,0.9743608796939229,0.8378473350884956,0.8674657312708725,0.9068732505644399,0.9623689890456246,0.7948886952819647
8,esm-AxP-GDL + HMD-AMP + macrel,0.7950796812060865,0.8027456848985294,0.06087204030177695,20.0,26.08,0.12,0.9607946494834118,0.7847912321161584,0.7659506143470113,0.9180976399387936,0.911742772740075,0.5845351258906009
9,amplify_imb + C_AMPs-predict + HMD-AMP,0.7918446986509395,0.7925781653177286,0.01766063392156869,25.0,28.3,0.0,0.9552810850913521,0.8293790956039601,0.8706623874162672,0.878501123685802,0.9165627935335484,0.7840769030697644
10,amplify_bal + esm-AxP-GDL + pepnet_standard,0.7756399936928104,0.7793481785357844,0.057490422019505716,27.0,38.5,0.0,0.9667739052278601,0.788440121553962,0.7860722958505634,0.9130469267321364,0.9456473663194144,0.709572230708904
11,amplify_imb + C_AMPs-predict + pepnet_standard,0.7702485300868056,0.7647614082564543,0.04728154895118453,35.0,49.5,0.0,0.954060555081595,0.8157024615629896,0.8533642605250774,0.8783455714919617,0.9230718479075335,0.7590445707927955
12,AMPsorter + esm-AxP-GDL + pepnet_standard,0.7683662072089461,0.7851231223675244,0.14713888537275321,12.0,57.86,0.2,0.9707487739407158,0.8278876868578263,0.8382968065288506,0.9208750184227048,0.9419661970558393,0.7837005573410647
13,ascan2 + C_AMPs-predict + esm-AxP-GDL,0.7678667008884804,0.7618124017496322,0.06076958435661772,28.0,57.62,0.0,0.9613119544630742,0.7649793220967592,0.7643192946149219,0.8914978367794882,0.9340439660456052,0.5969545715700652
14,C_AMPs-predict + esm-AxP-GDL + macrel,0.7654706064726307,0.7487567940452615,0.10651346748263879,33.0,78.36,0.14,0.9819663554234488,0.8627126006698815,0.9669507045861372,0.8487677993266614,0.9755466585317553,0.7163513568194624
15,amplify_imb + C_AMPs-predict + esm-AxP-GDL,0.7651599704758987,0.777528018856822,0.17081224304483245,15.0,73.3,0.28,0.9832208345070126,0.850434795628303,0.8935720137768352,0.9225817944648709,0.9777183275613283,0.8047472916272763
16,ai4amp + esm-AxP-GDL + pepnet_standard,0.763767436761642,0.7671275128117239,0.027601776812193668,43.0,42.48,0.0,0.9606906498672928,0.7784252743092576,0.7795636112769063,0.8991642761336033,0.9273392472247275,0.6507963551001076
17,amplify_imb + HMD-AMP + macrel,0.763217923805147,0.7691081848872549,0.05471556883425244,37.0,44.56,0.0,0.9443146731741553,0.7894295535889332,0.788384198023309,0.8959576498897596,0.880302969241904,0.6428792564994733
18,ascan2 + esm-AxP-GDL + pepnet_standard,0.753182106541054,0.7567322288019608,0.0796418295297181,26.0,62.8,0.0,0.9534722480663617,0.7331788016859315,0.7091390851121746,0.9139109452761082,0.9114640830253581,0.49456077887536126
19,amplify_bal + AMPsorter + esm-AxP-GDL,0.7519032771262255,0.7669853550298202,0.1503192628089257,19.0,74.56,0.02,0.9688904510966131,0.8124129524085059,0.8203299432283622,0.9233697819740064,0.9426439680682406,0.7752426172803983
20,esm-AxP-GDL + HMD-AMP + pepnet_fast,0.7500205946977123,0.7645169326749591,0.10559273824091087,21.0,54.68,0.0,0.9672139101484031,0.7743388198156071,0.7514807176249488,0.9315625259928764,0.9391845958740132,0.6328513439925249
21,amplify_bal + HMD-AMP + macrel,0.7496641869505719,0.7464863806660947,0.07384607789011433,30.0,71.44,0.0,0.9379365820550984,0.7925132612989114,0.8110287465103868,0.8748039697962144,0.8802347853067863,0.6732883099821145
22,amplify_bal + C_AMPs-predict + HMD-AMP,0.7489777934140114,0.7395753914724673,0.05707375612387666,46.0,72.36,0.0,0.9472849823409794,0.8182540291732291,0.8763902177933572,0.8553258724895615,0.9114122102988559,0.7456030250071684
23,HMD-AMP + macrel + pepnet_standard,0.7474779742024102,0.7503856851169936,0.08783479348856216,23.0,70.92,0.1,0.9314416810996932,0.7826683401509108,0.7948871839727477,0.8750423110826014,0.849572783582178,0.6200081939328163
24,C_AMPs-predict + HMD-AMP + pepnet_standard,0.7460815116779004,0.7428642808456292,0.039079805330371586,40.0,66.22,0.0,0.9470482757307476,0.7969749221361636,0.8394835707545402,0.8545244626467622,0.8979632900561586,0.706076158031732
25,amplify_imb + HMD-AMP + pepnet_standard,0.7458189947150735,0.7552601673970998,0.04925517235498378,50.5,52.08,0.0,0.9407238272150188,0.7672144952942269,0.7564515656225783,0.9064191448676383,0.8771599392623404,0.6179308269691203
26,C_AMPs-predict + esm-AxP-GDL + pepnet_fast,0.7455879763143383,0.7449548190966503,0.113172246499183,40.0,78.86,0.0,0.9756467887528442,0.8395352148247995,0.9019888890449431,0.8830839928896115,0.9650651418927064,0.7664357363052621
27,amplify_bal + HMD-AMP + pepnet_standard,0.745268265292075,0.7437611441279413,0.06615834899458739,29.0,72.22,0.0,0.9344525499155415,0.7668097856397549,0.7655452669853609,0.8900131474809752,0.8739305998635152,0.6191252638060631
