round,metric,weight,coverage,separation,consistency,consensus,uniqueness,committee_support
1,ACC,0.0817009068,1.0,0.52824,0.811908,0.942717,0.304409,0.657712
1,AUPRC,0.0831652377,1.0,0.558623,0.878225,0.950008,0.335041,0.689779
1,AUROC,0.0842934305,1.0,0.578164,0.922945,0.926438,0.376637,0.714485
1,BalancedAccuracy,0.0830834978,1.0,0.564405,0.891297,0.958935,0.319526,0.687989
1,BrierScore,0.0818900501,1.0,0.531345,0.818369,0.938742,0.311128,0.661854
1,ECE,0.0818002276,1.0,0.517001,0.788098,0.923988,0.332361,0.659887
1,F1-Score,0.0819610588,1.0,0.537102,0.830753,0.97145,0.296454,0.663409
1,MCC,0.0826561673,1.0,0.564707,0.891985,0.972776,0.293748,0.678631
1,NPV,0.0865134669,1.0,0.587545,0.94496,0.724833,0.64301,0.763101
1,Precision,0.0838375138,1.0,0.585506,0.940144,0.873425,0.360957,0.704501
1,Recall,0.0849611858,1.0,0.574866,0.915978,0.612274,0.639091,0.729108
1,Specificity,0.0841372571,1.0,0.591025,0.953216,0.834194,0.386795,0.711065
2,ACC,0.0812212677,1.0,0.499134,0.752066,0.976168,0.286238,0.637008
2,AUPRC,0.0824415677,1.0,0.489149,0.731682,0.957694,0.316805,0.641441
2,AUROC,0.08292719,1.0,0.474971,0.704162,0.960495,0.312314,0.631372
2,BalancedAccuracy,0.0814134087,1.0,0.468815,0.692466,0.985583,0.269896,0.612714
2,BrierScore,0.0814000062,1.0,0.492283,0.737874,0.967291,0.301339,0.638207
2,ECE,0.0830900627,1.0,0.509343,0.772274,0.876469,0.454616,0.690291
2,F1-Score,0.0810214937,1.0,0.472445,0.699346,0.967597,0.299353,0.625438
2,MCC,0.0814048975,1.0,0.48775,0.72893,0.989511,0.264067,0.621732
2,NPV,0.0869629106,1.0,0.547812,0.854145,0.812656,0.451325,0.70293
2,Precision,0.0858622177,1.0,0.551852,0.863089,0.725002,0.593504,0.72833
2,Recall,0.0860850018,1.0,0.551233,0.862158,0.730787,0.521551,0.710562
2,Specificity,0.0861699756,1.0,0.559234,0.879601,0.69032,0.61451,0.730957
3,ACC,0.0809348735,1.0,0.499134,0.752066,0.976168,0.286238,0.637008
3,AUPRC,0.0820094619,1.0,0.489149,0.731682,0.957694,0.316805,0.641441
3,AUROC,0.0821114031,1.0,0.474971,0.704162,0.960495,0.312314,0.631372
3,BalancedAccuracy,0.0804161927,1.0,0.468815,0.692466,0.985583,0.269896,0.612714
3,BrierScore,0.0811073993,1.0,0.492283,0.737874,0.967291,0.301339,0.638207
3,ECE,0.0838602277,1.0,0.509343,0.772274,0.876469,0.454616,0.690291
3,F1-Score,0.0804604762,1.0,0.472445,0.699346,0.967597,0.299353,0.625438
3,MCC,0.08065776,1.0,0.48775,0.72893,0.989511,0.264067,0.621732
3,NPV,0.087231275,1.0,0.547812,0.854145,0.812656,0.451325,0.70293
3,Precision,0.0870711755,1.0,0.551852,0.863089,0.725002,0.593504,0.72833
3,Recall,0.0867560363,1.0,0.551233,0.862158,0.730787,0.521551,0.710562
3,Specificity,0.0873837189,1.0,0.559234,0.879601,0.69032,0.61451,0.730957
4,ACC,0.0803587314,1.0,0.431422,0.624958,0.96685,0.301524,0.601294
4,AUPRC,0.0818302966,1.0,0.461097,0.678019,0.960556,0.319393,0.625715
4,AUROC,0.0818182203,1.0,0.446602,0.651531,0.952656,0.335512,0.62187
4,BalancedAccuracy,0.0800529907,1.0,0.444685,0.648091,0.977373,0.290005,0.605941
4,BrierScore,0.0803988807,1.0,0.421809,0.608187,0.96371,0.307379,0.597248
4,ECE,0.0832519255,1.0,0.432213,0.626075,0.916758,0.37701,0.622567
4,F1-Score,0.0800603304,1.0,0.443338,0.645683,0.976333,0.289495,0.604782
4,MCC,0.0804874113,1.0,0.466806,0.688682,0.981212,0.280361,0.61564
4,NPV,0.0884814215,1.0,0.547968,0.854489,0.732154,0.580604,0.724084
4,Precision,0.0874571444,1.0,0.521935,0.798418,0.780563,0.473012,0.687742
4,Recall,0.0879294337,1.0,0.539325,0.835979,0.657721,0.640339,0.717298
4,Specificity,0.0878732135,1.0,0.53279,0.821465,0.742818,0.496473,0.69436
5,ACC,0.0799759021,1.0,0.465293,0.68594,0.92533,0.312294,0.620833
5,AUPRC,0.082219738,1.0,0.496431,0.74613,0.942644,0.382803,0.668651
5,AUROC,0.0819839836,1.0,0.459984,0.675955,0.914313,0.434191,0.658093
5,BalancedAccuracy,0.0803752578,1.0,0.479268,0.712418,0.956936,0.358907,0.651382
5,BrierScore,0.0798095175,1.0,0.451359,0.660131,0.927339,0.309432,0.611492
5,ECE,0.0824767978,1.0,0.46845,0.691778,0.911916,0.323955,0.625481
5,F1-Score,0.0805994479,1.0,0.503947,0.761266,0.962384,0.343283,0.661583
5,MCC,0.0808935088,1.0,0.501567,0.75645,0.965145,0.338781,0.658756
5,NPV,0.08916071,1.0,0.572521,0.909873,0.661641,0.62268,0.735075
5,Precision,0.0868825062,1.0,0.519639,0.793602,0.849351,0.380552,0.668284
5,Recall,0.0882732594,1.0,0.565312,0.893822,0.598467,0.617934,0.714997
5,Specificity,0.0873493708,1.0,0.527472,0.810114,0.809191,0.402158,0.673967
6,ACC,0.0797531993,1.0,0.465156,0.68594,0.971013,0.296894,0.620501
6,AUPRC,0.0822167014,1.0,0.496431,0.74613,0.959896,0.324873,0.649415
6,AUROC,0.0816921874,1.0,0.459984,0.675955,0.950784,0.343361,0.632847
6,BalancedAccuracy,0.0801700102,1.0,0.479268,0.712418,0.981887,0.28343,0.624545
6,BrierScore,0.0794199167,1.0,0.451359,0.660131,0.973191,0.292915,0.610687
6,ECE,0.0822072802,1.0,0.46845,0.691778,0.914432,0.356365,0.637875
6,F1-Score,0.0806571453,1.0,0.503947,0.761266,0.979783,0.285006,0.639707
6,MCC,0.0808502131,1.0,0.501567,0.75645,0.981926,0.281269,0.636887
6,NPV,0.089938459,1.0,0.572521,0.909873,0.68968,0.634582,0.744014
6,Precision,0.0867934476,1.0,0.519639,0.793602,0.787441,0.453935,0.681872
6,Recall,0.0890427066,1.0,0.565426,0.893822,0.651561,0.658442,0.73658
6,Specificity,0.087258733,1.0,0.527472,0.810114,0.756526,0.468173,0.68548
7,ACC,0.07951662,1.0,0.465293,0.68594,0.92533,0.312294,0.620833
7,AUPRC,0.0824903415,1.0,0.496431,0.74613,0.942644,0.382803,0.668651
7,AUROC,0.0818503846,1.0,0.459984,0.675955,0.914313,0.434191,0.658093
7,BalancedAccuracy,0.0804255685,1.0,0.479268,0.712418,0.956936,0.358907,0.651382
7,BrierScore,0.079062419,1.0,0.451359,0.660131,0.927339,0.309432,0.611492
7,ECE,0.0817022165,1.0,0.46845,0.691778,0.911916,0.323955,0.625481
7,F1-Score,0.0810270643,1.0,0.503947,0.761266,0.962384,0.343283,0.661583
7,MCC,0.0811413202,1.0,0.501567,0.75645,0.965145,0.338781,0.658756
7,NPV,0.0903032933,1.0,0.572521,0.909873,0.661641,0.62268,0.735075
7,Precision,0.0864031142,1.0,0.519639,0.793602,0.849351,0.380552,0.668284
7,Recall,0.0891733969,1.0,0.565312,0.893822,0.598467,0.617934,0.714997
7,Specificity,0.0869042608,1.0,0.527472,0.810114,0.809191,0.402158,0.673967
8,ACC,0.0792997687,1.0,0.431422,0.624958,0.96685,0.301524,0.601294
8,AUPRC,0.0822990462,1.0,0.461097,0.678019,0.960556,0.319393,0.625715
8,AUROC,0.081678141,1.0,0.446602,0.651531,0.952656,0.335512,0.62187
8,BalancedAccuracy,0.0801674863,1.0,0.444685,0.648091,0.977373,0.290005,0.605941
8,BrierScore,0.0788361645,1.0,0.421809,0.608187,0.96371,0.307379,0.597248
8,ECE,0.0815620113,1.0,0.432213,0.626075,0.916758,0.37701,0.622567
8,F1-Score,0.0806679972,1.0,0.443338,0.645683,0.976333,0.289495,0.604782
8,MCC,0.0809558991,1.0,0.466806,0.688682,0.981212,0.280361,0.61564
8,NPV,0.0907745539,1.0,0.547968,0.854489,0.732154,0.580604,0.724084
8,Precision,0.0867657896,1.0,0.521935,0.798418,0.780563,0.473012,0.687742
