model,status,runtime_seconds,peak_memory_mb,gpu_memory_mb,throughput_sequences_per_second,measurement_source,reasons
ai4amp,eligible_missing_resource_measurement,,,,,,
amPEPpy,eligible_missing_resource_measurement,,,,,,
ampir,eligible_missing_resource_measurement,,,,,,
amplify_bal,eligible_missing_resource_measurement,,,,,,
amplify_imb,eligible_missing_resource_measurement,,,,,,
AMPsorter,eligible_missing_resource_measurement,,,,,,
apex1.1,eligible_missing_resource_measurement,,,,,,
apin,eligible_missing_resource_measurement,,,,,,
ascan2,eligible_missing_resource_measurement,,,,,,
C_AMPs-predict,eligible_missing_resource_measurement,,,,,,
esm-AxP-GDL,eligible_missing_resource_measurement,,,,,,
HMD-AMP,eligible_missing_resource_measurement,,,,,,
iamp-ca2l,eligible_missing_resource_measurement,,,,,,
iampcn,eligible_missing_resource_measurement,,,,,,
lstm,eligible_missing_resource_measurement,,,,,,
macrel,eligible_missing_resource_measurement,,,,,,
pepnet_fast,eligible_missing_resource_measurement,,,,,,
pepnet_standard,eligible_missing_resource_measurement,,,,,,
