round,model,score,rank
1,amplify_imb,0.7845892736,1
1,C_AMPs-predict,0.7598325583,2
1,AMPsorter,0.7543895003,3
1,pepnet_fast,0.7139248275,4
1,pepnet_standard,0.709855364,5
1,esm-AxP-GDL,0.6798816471,6
1,amplify_bal,0.6728532297,7
1,HMD-AMP,0.5541807274,8
1,macrel,0.4930740224,9
1,amPEPpy,0.4775859914,10
1,lstm,0.428966114,11
1,iampcn,0.4177805637,12
1,ai4amp,0.4041486551,13
1,apex1.1,0.34797996,14
1,apin,0.2999774763,15
1,ascan2,0.2773216775,16
1,ampir,0.2136609303,17
1,iamp-ca2l,0.0099974814,18
2,HMD-AMP,0.8158387321,1
2,pepnet_standard,0.7582532072,2
2,AMPsorter,0.7085825311,3
2,amplify_imb,0.7006071257,4
2,C_AMPs-predict,0.5923396694,5
2,macrel,0.585070711,6
2,esm-AxP-GDL,0.555320657,7
2,amplify_bal,0.5449351378,8
2,pepnet_fast,0.5419569047,9
2,ascan2,0.4838347962,10
2,lstm,0.473083013,11
2,ai4amp,0.4702834497,12
2,iampcn,0.4660029121,13
2,apin,0.4618628877,14
2,amPEPpy,0.3231001195,15
2,ampir,0.2897499616,16
2,apex1.1,0.1995444976,17
2,iamp-ca2l,0.0296336867,18
3,HMD-AMP,0.8153953126,1
3,pepnet_standard,0.7577940075,2
3,AMPsorter,0.708142417,3
3,amplify_imb,0.7000090162,4
3,C_AMPs-predict,0.5925025024,5
3,macrel,0.5852951666,6
3,esm-AxP-GDL,0.5550613547,7
3,amplify_bal,0.5445964505,8
3,pepnet_fast,0.5416719051,9
3,ascan2,0.4836505059,10
3,lstm,0.4729143762,11
3,ai4amp,0.4709526063,12
3,iampcn,0.4651337223,13
3,apin,0.4617960303,14
3,amPEPpy,0.3236663955,15
3,ampir,0.2898409569,16
3,apex1.1,0.2018532266,17
3,iamp-ca2l,0.0297240475,18
4,pepnet_standard,0.7426278265,1
4,HMD-AMP,0.6834003095,2
4,C_AMPs-predict,0.680842044,3
4,amplify_imb,0.6762921493,4
4,amplify_bal,0.6411202085,5
4,AMPsorter,0.6361740319,6
4,pepnet_fast,0.6061148087,7
4,macrel,0.5835546631,8
4,esm-AxP-GDL,0.5250448793,9
4,ascan2,0.4899847216,10
4,ai4amp,0.4660697009,11
4,lstm,0.44537614,12
4,apin,0.4301457089,13
4,amPEPpy,0.3937789271,14
4,iampcn,0.3886645092,15
4,ampir,0.3083095067,16
4,apex1.1,0.2725482402,17
4,iamp-ca2l,0.0299516245,18
5,C_AMPs-predict,0.7689715206,1
5,amplify_bal,0.7382299069,2
5,pepnet_standard,0.7279409969,3
5,pepnet_fast,0.6706970118,4
5,amplify_imb,0.653071048,5
5,macrel,0.58195687,6
5,AMPsorter,0.5640737148,7
5,HMD-AMP,0.5520693582,8
5,ascan2,0.4963802597,9
5,esm-AxP-GDL,0.4956084086,10
5,amPEPpy,0.4638176197,11
5,ai4amp,0.4611965818,12
5,lstm,0.4178741081,13
5,apin,0.3987414931,14
5,apex1.1,0.3403429227,15
5,ampir,0.3267908813,16
5,iampcn,0.312119209,17
5,iamp-ca2l,0.0301180891,18
6,pepnet_standard,0.7618533063,1
6,amplify_bal,0.7080324359,2
6,ascan2,0.7075518725,3
6,C_AMPs-predict,0.6911530942,4
6,HMD-AMP,0.6814967422,5
6,macrel,0.672049372,6
6,pepnet_fast,0.5644372135,7
6,amplify_imb,0.5474903683,8
6,apin,0.5275380113,9
6,ai4amp,0.5221301094,10
