dataset,dataset_label,model,n,positive,negative,AUROC,AUPRC,Precision,Recall,Threshold,filtered_rank,global_rank
C_AMPs-predict_test,C_AMPs-predict test,HMD-AMP,59311,1038,58273,0.947955022811868,0.5561867096182253,0.10336377812430385,0.8940269749518305,0.5,1,2
C_AMPs-predict_test,C_AMPs-predict test,C_AMPs-predict,59311,1038,58273,0.9944054853497195,0.9315737606139528,0.9147609147609148,0.8477842003853564,0.5,2,3
C_AMPs-predict_test,C_AMPs-predict test,AMPsorter,59311,1038,58273,0.9708050890091543,0.6279934784823774,0.40069860279441116,0.7736030828516378,0.5,3,6
C_AMPs-predict_test,C_AMPs-predict test,pepnet_fast,59311,1038,58273,0.976456632089864,0.7557977266672036,0.32863187588152326,0.8978805394990366,0.5,4,7
C_AMPs-predict_test,C_AMPs-predict test,macrel,59311,1038,58273,0.9189167478158333,0.6727543596384036,0.28308823529411764,0.7418111753371869,0.5,5,8
C_AMPs-predict_test,C_AMPs-predict test,esm-AxP-GDL,59311,1038,58273,0.9890301817367705,0.9216839112583698,0.1231293344689135,0.9749518304431599,0.5,6,9
C_AMPs-predict_test,C_AMPs-predict test,ascan2,59311,1038,58273,0.909255533229133,0.21240462408468547,0.061089672313427955,0.8998073217726397,0.5,7,10
C_AMPs-predict_test,C_AMPs-predict test,ai4amp,59311,1038,58273,0.9343089518152994,0.4550428927737513,0.12147961328289197,0.8352601156069365,0.5,8,11
C_AMPs-predict_test,C_AMPs-predict test,lstm,59311,1038,58273,0.9584842036620733,0.29447326228886156,0.06471682380860753,0.9720616570327553,0.5,9,12
C_AMPs-predict_test,C_AMPs-predict test,apin,59311,1038,58273,0.9148335237697706,0.451104847829539,0.060118434603501546,0.8998073217726397,0.5,10,13
C_AMPs-predict_test,C_AMPs-predict test,amPEPpy,59311,1038,58273,0.9729509665934581,0.6859393546644443,0.19973833406018315,0.882466281310212,0.5,11,14
C_AMPs-predict_test,C_AMPs-predict test,iampcn,59311,1038,58273,0.9798535724166171,0.5702599612042285,0.03949586270303402,0.9932562620423893,0.5,12,15
C_AMPs-predict_test,C_AMPs-predict test,ampir,59311,1038,58273,0.9092814063973086,0.4593685454587481,0.04498869268151855,0.9007707129094412,0.5,13,16
