filtered_rank,global_rank,model,median_score,mean_score,score_iqr,median_rank,mean_rank,top3_frequency,rounds
1,2,HMD-AMP,0.68310917,0.69621223,0.13023371,2.0,3.76,0.58,50
2,3,C_AMPs-predict,0.67796114,0.6689927,0.08819947,4.0,4.12,0.48,50
3,6,AMPsorter,0.63451209,0.66038715,0.18660471,6.0,5.28,0.46,50
4,7,pepnet_fast,0.60589665,0.60369909,0.09995383,7.0,7.04,0.0,50
5,8,macrel,0.5814957,0.57323222,0.09054424,8.0,7.4,0.0,50
6,9,esm-AxP-GDL,0.52646718,0.54740088,0.18424708,9.0,8.56,0.0,50
7,10,ascan2,0.49060718,0.4683159,0.21637571,10.0,10.42,0.2,50
8,11,ai4amp,0.46404675,0.4594501,0.06179204,12.0,11.32,0.0,50
9,12,lstm,0.44782588,0.45102177,0.02754584,11.5,11.52,0.0,50
10,13,apin,0.43001922,0.42347176,0.12828386,13.0,12.6,0.0,50
11,14,amPEPpy,0.39408427,0.38847509,0.07971418,14.0,13.38,0.0,50
12,15,iampcn,0.39366142,0.41042654,0.10486987,15.0,13.28,0.0,50
13,16,ampir,0.30898494,0.29599081,0.11075298,16.0,15.58,0.0,50
14,17,apex1.1,0.2720036,0.26607331,0.07676702,17.0,16.08,0.0,50
15,18,iamp-ca2l,0.03006329,0.02808008,0.01976792,18.0,18.0,0.0,50
