dataset,dataset_label,model,metric,metric_label,higher_is_better,raw_value,performance_percentile,dataset_consensus_rank
C_AMPs-predict_test,C_AMPs-predict test,amPEPpy,AUPRC,AUPRC,True,0.6859393546644443,0.6666666666666666,9.0
C_AMPs-predict_test,C_AMPs-predict test,ampir,AUPRC,AUPRC,True,0.4593685454587481,0.3888888888888889,15.0
C_AMPs-predict_test,C_AMPs-predict test,amplify_bal,AUPRC,AUPRC,True,0.8222178884953281,0.8333333333333334,4.0
C_AMPs-predict_test,C_AMPs-predict test,amplify_imb,AUPRC,AUPRC,True,0.8354258913147193,0.8888888888888888,2.0
C_AMPs-predict_test,C_AMPs-predict test,apex1.1,AUPRC,AUPRC,True,0.036465968302779456,0.1111111111111111,17.0
C_AMPs-predict_test,C_AMPs-predict test,apin,AUPRC,AUPRC,True,0.451104847829539,0.2777777777777778,13.5
C_AMPs-predict_test,C_AMPs-predict test,ascan2,AUPRC,AUPRC,True,0.21240462408468547,0.16666666666666666,13.5
C_AMPs-predict_test,C_AMPs-predict test,lstm,AUPRC,AUPRC,True,0.29447326228886156,0.2222222222222222,12.0
C_AMPs-predict_test,C_AMPs-predict test,C_AMPs-predict,AUPRC,AUPRC,True,0.9315737606139528,1.0,1.0
C_AMPs-predict_test,C_AMPs-predict test,macrel,AUPRC,AUPRC,True,0.6727543596384036,0.6111111111111112,8.0
C_AMPs-predict_test,C_AMPs-predict test,iamp-ca2l,AUPRC,AUPRC,True,0.018059938188839553,0.05555555555555555,18.0
C_AMPs-predict_test,C_AMPs-predict test,pepnet_fast,AUPRC,AUPRC,True,0.7557977266672036,0.7777777777777778,3.0
C_AMPs-predict_test,C_AMPs-predict test,pepnet_standard,AUPRC,AUPRC,True,0.6988423819781603,0.7222222222222222,5.5
C_AMPs-predict_test,C_AMPs-predict test,iampcn,AUPRC,AUPRC,True,0.5702599612042285,0.5,16.0
C_AMPs-predict_test,C_AMPs-predict test,ai4amp,AUPRC,AUPRC,True,0.4550428927737513,0.3333333333333333,10.0
C_AMPs-predict_test,C_AMPs-predict test,HMD-AMP,AUPRC,AUPRC,True,0.5561867096182253,0.4444444444444444,11.0
C_AMPs-predict_test,C_AMPs-predict test,AMPsorter,AUPRC,AUPRC,True,0.6279934784823774,0.5555555555555556,5.5
C_AMPs-predict_test,C_AMPs-predict test,esm-AxP-GDL,AUPRC,AUPRC,True,0.9216839112583698,0.9444444444444444,7.0
C_AMPs-predict_test,C_AMPs-predict test,amPEPpy,AUROC,AUROC,True,0.9729509665934581,0.6111111111111112,9.0
C_AMPs-predict_test,C_AMPs-predict test,ampir,AUROC,AUROC,True,0.9092814063973086,0.2222222222222222,15.0
C_AMPs-predict_test,C_AMPs-predict test,amplify_bal,AUROC,AUROC,True,0.9777644174137897,0.7777777777777778,4.0
C_AMPs-predict_test,C_AMPs-predict test,amplify_imb,AUROC,AUROC,True,0.9870641102720048,0.8888888888888888,2.0
C_AMPs-predict_test,C_AMPs-predict test,apex1.1,AUROC,AUROC,True,0.5161803023553312,0.1111111111111111,17.0
C_AMPs-predict_test,C_AMPs-predict test,apin,AUROC,AUROC,True,0.9148335237697706,0.2777777777777778,13.5
C_AMPs-predict_test,C_AMPs-predict test,ascan2,AUROC,AUROC,True,0.909255533229133,0.16666666666666666,13.5
C_AMPs-predict_test,C_AMPs-predict test,lstm,AUROC,AUROC,True,0.9584842036620733,0.5,12.0
C_AMPs-predict_test,C_AMPs-predict test,C_AMPs-predict,AUROC,AUROC,True,0.9944054853497195,1.0,1.0
