round,metric,weight,coverage,separation,consistency,consensus,uniqueness,committee_support
1,ACC,0.1391954659,1.0,0.471405,0.5,0.75,0.220335,0.522518
1,AUPRC,0.1483646408,1.0,0.720082,0.833333,0.827327,0.180345,0.617158
1,BalancedAccuracy,0.1442240763,1.0,0.272166,0.333333,0.933013,0.738842,0.574421
1,ECE,0.1312604093,1.0,0.272166,0.333333,0.933013,0.196201,0.440616
1,NPV,0.1410686361,1.0,0.720082,0.833333,0.336337,0.231435,0.541852
1,Precision,0.1548181354,1.0,0.816497,1.0,0.933013,0.196201,0.683768
1,Recall,0.1410686361,1.0,0.720082,0.833333,0.336337,0.231435,0.541852
2,ACC,0.1421424077,1.0,0.471405,0.5,0.933013,0.307114,0.583325
2,AUPRC,0.1381035072,1.0,0.272166,0.333333,0.25,0.633193,0.427994
2,BalancedAccuracy,0.1458198275,1.0,0.471405,0.5,0.933013,0.307114,0.583325
2,ECE,0.1410349328,1.0,0.720082,0.833333,0.972456,0.20069,0.651207
2,NPV,0.1482076834,1.0,0.720082,0.833333,0.972456,0.20069,0.651207
2,Precision,0.1357480537,1.0,0.720082,0.833333,0.027544,0.221786,0.325712
2,Recall,0.1489435877,1.0,0.816497,1.0,1.0,0.155536,0.661846
3,ACC,0.1439020369,1.0,0.471405,0.5,0.933013,0.307114,0.583325
3,AUPRC,0.1319765486,1.0,0.272166,0.333333,0.25,0.633193,0.427994
3,BalancedAccuracy,0.1467726561,1.0,0.471405,0.5,0.933013,0.307114,0.583325
3,ECE,0.1468713348,1.0,0.720082,0.833333,0.972456,0.20069,0.651207
3,NPV,0.1524704334,1.0,0.720082,0.833333,0.972456,0.20069,0.651207
3,Precision,0.1243612416,1.0,0.720082,0.833333,0.027544,0.221786,0.325712
3,Recall,0.1536457486,1.0,0.816497,1.0,1.0,0.155536,0.661846
4,ACC,0.1187646521,1.0,0.0,0.25,0.5,1.0,0.041628
4,AUPRC,0.1285404438,1.0,0.272166,0.333333,0.320395,0.392375,0.408714
4,BalancedAccuracy,0.1465898444,1.0,0.272166,0.333333,0.993915,0.43503,0.523258
4,ECE,0.1466697741,1.0,0.272166,0.333333,0.993915,0.43503,0.523258
4,NPV,0.1611275545,1.0,0.720082,0.833333,0.941249,0.320946,0.710669
4,Precision,0.1376054874,1.0,0.720082,0.833333,0.483029,0.565235,0.696435
4,Recall,0.1607022437,1.0,0.720082,0.833333,0.822451,0.304824,0.684655
5,ACC,0.119526938,1.0,0.471405,0.5,0.888857,0.33934,0.58934
5,AUPRC,0.1276414203,1.0,0.471405,0.5,0.888857,0.33934,0.58934
5,BalancedAccuracy,0.1480802632,1.0,0.720082,0.833333,0.992162,0.380018,0.742878
5,ECE,0.1426898311,1.0,0.471405,0.5,0.888857,0.33934,0.58934
5,NPV,0.1641129987,1.0,0.816497,1.0,0.814309,0.68503,0.854458
5,Precision,0.1386488485,1.0,0.720082,0.833333,0.822451,0.310846,0.687339
5,Recall,0.1592997002,1.0,0.720082,0.833333,0.669711,0.512185,0.728959
6,ACC,0.1196726019,1.0,0.471405,0.5,0.99099,0.195002,0.539131
6,AUPRC,0.1265282492,1.0,0.471405,0.5,0.99099,0.195002,0.539131
6,BalancedAccuracy,0.147437771,1.0,0.720082,0.833333,1.0,0.184858,0.644181
6,ECE,0.1392421345,1.0,0.471405,0.5,0.99099,0.195002,0.539131
6,NPV,0.1637797215,1.0,0.816497,1.0,0.972456,0.252017,0.724854
6,Precision,0.1425950004,1.0,0.720082,0.833333,0.75,0.474509,0.734347
6,Recall,0.1607445215,1.0,0.720082,0.833333,0.75,0.543682,0.754608
7,ACC,0.1201864454,1.0,0.471405,0.5,0.888857,0.33934,0.58934
7,AUPRC,0.1260574401,1.0,0.471405,0.5,0.888857,0.33934,0.58934
7,BalancedAccuracy,0.1485756201,1.0,0.720082,0.833333,0.992162,0.380018,0.742878
7,ECE,0.1369452746,1.0,0.471405,0.5,0.888857,0.33934,0.58934
7,NPV,0.1659219609,1.0,0.816497,1.0,0.814309,0.68503,0.854458
7,Precision,0.1427601752,1.0,0.720082,0.833333,0.822451,0.310846,0.687339
7,Recall,0.1595530837,1.0,0.720082,0.833333,0.669711,0.512185,0.728959
8,ACC,0.1055978268,1.0,0.0,0.25,0.5,1.0,0.041628
8,AUPRC,0.124422981,1.0,0.272166,0.333333,0.320395,0.392375,0.408714
8,BalancedAccuracy,0.148204124,1.0,0.272166,0.333333,0.993915,0.43503,0.523258
8,ECE,0.1381363187,1.0,0.272166,0.333333,0.993915,0.43503,0.523258
8,NPV,0.1702362534,1.0,0.720082,0.833333,0.941249,0.320946,0.710669
8,Precision,0.1496533691,1.0,0.720082,0.833333,0.483029,0.565235,0.696435
8,Recall,0.1637491271,1.0,0.720082,0.833333,0.822451,0.304824,0.684655
9,ACC,0.107833799,1.0,0.471405,0.5,0.888857,0.33934,0.58934
9,AUPRC,0.1242744337,1.0,0.471405,0.5,0.888857,0.33934,0.58934
9,BalancedAccuracy,0.1491105411,1.0,0.720082,0.833333,0.992162,0.380018,0.742878
9,ECE,0.1362507487,1.0,0.471405,0.5,0.888857,0.33934,0.58934
9,NPV,0.1713077036,1.0,0.816497,1.0,0.814309,0.68503,0.854458
9,Precision,0.1489049796,1.0,0.720082,0.833333,0.822451,0.310846,0.687339
9,Recall,0.1623177943,1.0,0.720082,0.833333,0.669711,0.512185,0.728959
10,ACC,0.1095930324,1.0,0.471405,0.5,0.988111,0.162777,0.5197
10,AUPRC,0.1228767931,1.0,0.272166,0.333333,0.97691,0.281524,0.477987
10,BalancedAccuracy,0.1459096908,1.0,0.471405,0.5,0.988111,0.162777,0.5197
10,ECE,0.1383854236,1.0,0.720082,0.833333,0.999799,0.198724,0.653541
10,NPV,0.1692297052,1.0,0.720082,0.833333,0.999799,0.198724,0.653541
10,Precision,0.1511564005,1.0,0.720082,0.833333,0.442646,0.685787,0.71136
10,Recall,0.1628489544,1.0,0.816497,1.0,0.868522,0.250027,0.707529
11,ACC,0.0978338699,1.0,0.0,0.25,0.5,1.0,0.041628
11,AUPRC,0.1217985923,1.0,0.272166,0.333333,0.320395,0.392375,0.408714
11,BalancedAccuracy,0.1458977866,1.0,0.272166,0.333333,0.993915,0.43503,0.523258
11,ECE,0.1392764315,1.0,0.272166,0.333333,0.993915,0.43503,0.523258
11,NPV,0.172686248,1.0,0.720082,0.833333,0.941249,0.320946,0.710669
11,Precision,0.1563057682,1.0,0.720082,0.833333,0.483029,0.565235,0.696435
11,Recall,0.1662013035,1.0,0.720082,0.833333,0.822451,0.304824,0.684655
12,ACC,0.087485807,1.0,0.0,0.25,0.5,1.0,0.041628
12,AUPRC,0.1208497755,1.0,0.272166,0.333333,0.320395,0.392375,0.408714
12,BalancedAccuracy,0.1458873109,1.0,0.272166,0.333333,0.993915,0.43503,0.523258
12,ECE,0.1400605184,1.0,0.272166,0.333333,0.993915,0.43503,0.523258
12,NPV,0.1757280057,1.0,0.720082,0.833333,0.941249,0.320946,0.710669
12,Precision,0.1608372118,1.0,0.720082,0.833333,0.483029,0.565235,0.696435
12,Recall,0.1691513707,1.0,0.720082,0.833333,0.822451,0.304824,0.684655
13,ACC,0.0783795116,1.0,0.0,0.25,0.5,1.0,0.041628
13,AUPRC,0.1200148168,1.0,0.272166,0.333333,0.320395,0.392375,0.408714
13,BalancedAccuracy,0.1458780923,1.0,0.272166,0.333333,0.993915,0.43503,0.523258
13,ECE,0.1407505149,1.0,0.272166,0.333333,0.993915,0.43503,0.523258
13,NPV,0.1784047525,1.0,0.720082,0.833333,0.941249,0.320946,0.710669
13,Precision,0.1648248822,1.0,0.720082,0.833333,0.483029,0.565235,0.696435
