round,model,score,rank
1,C_AMPs-predict,0.6489543945,1
1,AMPsorter,0.429843581,2
1,HMD-AMP,0.4212020245,3
2,HMD-AMP,0.6988202054,1
2,AMPsorter,0.5001791787,2
2,C_AMPs-predict,0.3010006159,3
3,HMD-AMP,0.7114897019,1
3,AMPsorter,0.4998247053,2
3,C_AMPs-predict,0.2886855928,3
4,HMD-AMP,0.6424995991,1
4,C_AMPs-predict,0.509804144,2
4,AMPsorter,0.3476962569,3
5,C_AMPs-predict,0.7220872917,1
5,HMD-AMP,0.5751937456,2
5,AMPsorter,0.2027189627,3
6,HMD-AMP,0.7518827094,1
6,C_AMPs-predict,0.6065294525,2
6,AMPsorter,0.1415878382,3
7,C_AMPs-predict,0.7220428337,1
7,HMD-AMP,0.5760485406,2
7,AMPsorter,0.2019086257,3
8,HMD-AMP,0.6440944775,1
8,C_AMPs-predict,0.5126080968,2
8,AMPsorter,0.3432974257,3
9,C_AMPs-predict,0.7198893649,1
9,HMD-AMP,0.580636349,2
9,AMPsorter,0.199474286,3
10,HMD-AMP,0.8156863481,1
10,C_AMPs-predict,0.4003007477,2
10,AMPsorter,0.2840129042,3
11,HMD-AMP,0.644571124,1
11,C_AMPs-predict,0.5142711736,2
11,AMPsorter,0.3411577024,3
12,HMD-AMP,0.6463436265,1
12,C_AMPs-predict,0.514888444,2
12,AMPsorter,0.3387679295,3
13,HMD-AMP,0.6479034288,1
13,C_AMPs-predict,0.5154316419,2
13,AMPsorter,0.3366649293,3
14,C_AMPs-predict,0.6289744701,1
14,HMD-AMP,0.4742041516,2
14,AMPsorter,0.3968213783,3
15,HMD-AMP,0.6438950136,1
15,C_AMPs-predict,0.5189599012,2
15,AMPsorter,0.3371450851,3
16,AMPsorter,0.6804899284,1
16,HMD-AMP,0.5950297208,2
16,C_AMPs-predict,0.2244803508,3
17,AMPsorter,0.5436972269,1
17,HMD-AMP,0.5299014407,2
17,C_AMPs-predict,0.4264013323,3
18,AMPsorter,0.5476937495,1
18,HMD-AMP,0.5259428766,2
18,C_AMPs-predict,0.4263633739,3
19,HMD-AMP,0.6401432837,1
19,C_AMPs-predict,0.5178953613,2
19,AMPsorter,0.341961355,3
20,HMD-AMP,0.6424471271,1
20,C_AMPs-predict,0.5180777292,2
20,AMPsorter,0.3394751438,3
21,HMD-AMP,0.8096027234,1
21,C_AMPs-predict,0.4079375933,2
21,AMPsorter,0.2824596833,3
22,C_AMPs-predict,0.6325902492,1
22,HMD-AMP,0.4651100654,2
22,AMPsorter,0.4022996854,3
23,AMPsorter,0.5467689072,1
23,HMD-AMP,0.5220522252,2
23,C_AMPs-predict,0.4311788677,3
24,HMD-AMP,0.8071099917,1
24,C_AMPs-predict,0.4092244186,2
24,AMPsorter,0.2836655897,3
25,HMD-AMP,0.6368047019,1
25,C_AMPs-predict,0.5210523233,2
25,AMPsorter,0.3421429747,3
26,HMD-AMP,0.6395091751,1
26,C_AMPs-predict,0.5208558557,2
26,AMPsorter,0.3396349692,3
27,C_AMPs-predict,0.6338953166,1
27,HMD-AMP,0.4645172419,2
27,AMPsorter,0.4015874415,3
28,HMD-AMP,0.6373945036,1
28,C_AMPs-predict,0.5231604124,2
28,AMPsorter,0.339445084,3
29,HMD-AMP,0.6400282006,1
29,C_AMPs-predict,0.5227109741,2
29,AMPsorter,0.3372608253,3
30,HMD-AMP,0.747141117,1
30,C_AMPs-predict,0.610259496,2
30,AMPsorter,0.142599387,3
31,HMD-AMP,0.704320653,1
31,AMPsorter,0.4798152634,2
31,C_AMPs-predict,0.3158640836,3
32,HMD-AMP,0.7105903504,1
32,AMPsorter,0.4820650492,2
32,C_AMPs-predict,0.3073446004,3
33,HMD-AMP,0.815945807,1
33,C_AMPs-predict,0.4004603231,2
33,AMPsorter,0.2835938699,3
34,C_AMPs-predict,0.6293239762,1
34,HMD-AMP,0.4674487901,2
34,AMPsorter,0.4032272336,3
35,HMD-AMP,0.8119183721,1
35,C_AMPs-predict,0.4044906359,2
35,AMPsorter,0.283590992,3
36,HMD-AMP,0.9203949007,1
36,C_AMPs-predict,0.4966330504,2
36,AMPsorter,0.0829720489,3
37,AMPsorter,0.550180751,1
37,HMD-AMP,0.523119625,2
37,C_AMPs-predict,0.4266996239,3
38,C_AMPs-predict,0.7237485603,1
38,HMD-AMP,0.5710214268,2
38,AMPsorter,0.205230013,3
39,C_AMPs-predict,0.6347152199,1
39,HMD-AMP,0.4536841829,2
39,AMPsorter,0.4116005973,3
40,C_AMPs-predict,0.6376176985,1
40,HMD-AMP,0.4483434721,2
40,AMPsorter,0.4140388294,3
41,AMPsorter,0.702897322,1
41,HMD-AMP,0.5762581838,2
41,C_AMPs-predict,0.2208444942,3
42,HMD-AMP,0.699846366,1
42,AMPsorter,0.4949698551,2
42,C_AMPs-predict,0.3051837789,3
43,AMPsorter,0.7073513922,1
43,HMD-AMP,0.5857102988,2
43,C_AMPs-predict,0.206938309,3
44,HMD-AMP,0.7478993006,1
44,C_AMPs-predict,0.6096515232,2
44,AMPsorter,0.1424491761,3
45,AMPsorter,0.5625278648,1
45,HMD-AMP,0.5161848767,2
45,C_AMPs-predict,0.4212872585,3
46,AMPsorter,0.5642647108,1
46,HMD-AMP,0.5138723003,2
46,C_AMPs-predict,0.4218629889,3
47,HMD-AMP,0.6338802966,1
47,C_AMPs-predict,0.5164259801,2
47,AMPsorter,0.3496937232,3
48,HMD-AMP,0.9255445075,1
48,C_AMPs-predict,0.4945688796,2
48,AMPsorter,0.079886613,3
49,HMD-AMP,0.7037105883,1
49,AMPsorter,0.4946908324,2
49,C_AMPs-predict,0.3015985794,3
50,AMPsorter,0.5596947589,1
50,HMD-AMP,0.5209944395,2
50,C_AMPs-predict,0.4193108015,3
