stage,artifact,value,unit
Stage 1,evidence_pool.json,2365,papers
Stage 1,evidence_pool.json,304,evidence batches
Stage 1,compact_evidence_pool.json,2361,papers
Stage 1,compact_evidence_pool.json,241,chunks
Stage 1,literature_meeting_screening_decisions.csv,487,identities
Stage 1,recommended_models.csv,20,models
Stage 2,evaluated datasets,3,datasets
Stage 2,evaluated sequences,62310,sequences
Stage 2,usable model outputs,18,models
Stage 3,eligible metrics,12,metrics
Stage 3,round JSON,50,rounds
Stage 3,metric-weight CSV,600,rows
Stage 3,model-score CSV,900,rows
