svg_image_id,asset,display_width_px,display_height_px,embedded_width_px,embedded_height_px,width_resolution_multiplier,height_resolution_multiplier
img0,stage3_prompt_contract.png,314,174,2706,1496,8.62,8.6
img2,stage3_blinded_evidence.png,314,174,2706,1496,8.62,8.6
img4,consensus_rank_top3_bubble_only.png,324,456,1175,1654,3.63,3.63
img7,restricted_candidate_report.png,227,126,2706,1496,11.92,11.87
img9,stage2_prompt_contract.png,314,174,2706,1496,8.62,8.6
img11,stage2_registry_input.png,314,174,2706,1496,8.62,8.6
img13,C_AMPs-predict_test_pr_crop.png,212,173,1500,1224,7.08,7.08
img15,Veltri_test_pr_crop.png,212,173,1500,1224,7.08,7.08
img17,ProteoGPT_all_predictions_pr_crop.png,212,173,1500,1224,7.08,7.08
img19,recommended_datasets_table.png,541,199,1942,712,3.59,3.58
img21,stage1_prompt_contract.png,314,174,2706,1496,8.62,8.6
img23,stage1_compact_evidence.png,314,174,2706,1496,8.62,8.6
img25,recommended_metrics_table.png,503,356,1942,1375,3.86,3.86
img27,recommended_models_table.png,398,356,1942,1735,4.88,4.87
